usda_category,rows_kept,canonical,status,rule
Meat/Poultry/Other Animals  Unprepared/Unprocessed,85,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Herbs/Spices/Extracts,78,Spices & Seasonings,auto,keyword 'herbs'
Fruit - Prepared/Processed (Shelf Stable),76,Deli & Prepared Foods,auto,keyword 'prepared'
Grains/Flour,71,"Pasta, Rice & Grains",auto,keyword 'grain'
Breakfast Drinks,70,Beverages — Non-Alcoholic,auto,keyword 'drinks'
Grain Based Products / Meals,69,Deli & Prepared Foods,auto,keyword 'meals'
Meat/Poultry/Other Animals Sausages - Prepared/Processed,68,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Weight Control,65,Vitamins & Supplements,user map,
Pasta/Noodles,63,"Pasta, Rice & Grains",auto,keyword 'pasta'
Coffee/Tea/Substitutes,52,Coffee & Tea,auto,app mapper (mapOffCategoriesToCanonical)
Meat/Poultry/Other Animals Sausages  Prepared/Processed,52,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Vegetable Based Products / Meals - Not Ready to Eat (Frozen),47,Frozen Foods,auto,keyword 'frozen'
Sweet Spreads,44,Condiments & Sauces,user map,2026-09-20 gate-3 §6 pick (Eman)
Health Care,42,Health & Pharmacy,auto,keyword 'health'
Cakes - Sweet (Frozen),40,Frozen Foods,auto,keyword 'frozen'
Cream/Cream Substitutes,39,Dairy & Eggs,auto,keyword 'cream'
Pies/Pastries - Sweet (Shelf Stable),38,Bakery & Bread,auto,keyword 'pies'
Prepared/Preserved Foods Variety Packs,38,Canned & Jarred Goods,auto,keyword 'preserve'
Drinks Flavoured - Ready to Drink,36,Beverages — Non-Alcoholic,auto,keyword 'drinks'
Baby/Infant - Foods/Beverages,31,Baby & Toddler,auto,keyword 'baby'
Pickles/Relishes/Chutneys/Olives,31,Canned & Jarred Goods,auto,keyword 'pickle'
Green Supplements,30,Vitamins & Supplements,auto,keyword 'supplement'
Non Alcoholic Beverages - Not Ready to Drink,29,Beverages — Non-Alcoholic,auto,corrected 2026-09-20: the probe's keyword 'alcohol' had matched 'Non Alcoholic'
Fruit  Prepared/Processed,28,Deli & Prepared Foods,auto,keyword 'prepared'
Butter/Butter Substitutes,26,Dairy & Eggs,auto,keyword 'butter'
Nuts/Seeds  Prepared/Processed,25,Nuts & Dried Fruit,auto,keyword 'nuts'
Seasonings/Preservatives/Extracts Variety Packs,25,Spices & Seasonings,auto,keyword 'seasoning'
Digestive & Fiber Supplements,21,Vitamins & Supplements,auto,keyword 'supplement'
Herbal Supplements,20,Vitamins & Supplements,auto,keyword 'supplement'
Oils Edible,16,Oils & Vinegars,auto,keyword 'oils'
Sugars/Sugar Substitute Products,16,Baking Supplies,auto,keyword 'sugar'
Nuts/Seeds - Prepared/Processed,15,Nuts & Dried Fruit,auto,keyword 'nuts'
Dairy/Egg Based Products / Meals,13,Dairy & Eggs,auto,app mapper (mapOffCategoriesToCanonical)
Fish - Prepared/Processed,13,Seafood,auto,keyword 'fish'
Baking/Cooking Supplies (Shelf Stable),12,Baking Supplies,auto,keyword 'baking'
Pies/Pastries/Pizzas/Quiches - Savoury (Frozen),11,Frozen Foods,auto,keyword 'frozen'
Alcoholic Beverages,10,Beverages — Alcoholic,auto,keyword 'alcohol'
Nuts/Seeds - Prepared/Processed (Shelf Stable),9,Nuts & Dried Fruit,auto,keyword 'nuts'
Vitamins,9,Vitamins & Supplements,auto,app mapper (mapOffCategoriesToCanonical)
Cereals Products - Not Ready to Eat (Shelf Stable),8,Breakfast & Cereal,auto,keyword 'cereal'
Fruit/Nuts/Seeds Combination,8,Nuts & Dried Fruit,auto,keyword 'nuts'
Tea and Infusions/Tisanes,8,Coffee & Tea,auto,keyword 'tea'
Children's Nutritional Supplements,7,Vitamins & Supplements,auto,keyword 'nutritional'
Baking,6,Baking Supplies,auto,app mapper (mapOffCategoriesToCanonical)
Fatty Acid Supplements,6,Vitamins & Supplements,auto,keyword 'supplement'
Meat/Poultry/Other Animals - Unprepared/Unprocessed,6,Meat & Poultry,auto,app mapper (mapOffCategoriesToCanonical)
Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,5,Seafood,auto,app mapper (mapOffCategoriesToCanonical)
Baking/Cooking Mixes (Shelf Stable),5,Baking Supplies,auto,keyword 'baking'
Dough Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),5,Deli & Prepared Foods,auto,keyword 'meals'
Ice Cream/Ice Novelties (Shelf Stable),5,Frozen Foods,auto,keyword 'ice cream'
Egg Based Products / Meals - Not Ready to Eat (Frozen),4,Frozen Foods,auto,keyword 'frozen'
Popcorn (Shelf Stable),4,Snacks & Chips,auto,keyword 'popcorn'
Vegetables - Prepared/Processed (Shelf Stable),4,Deli & Prepared Foods,auto,keyword 'prepared'
Yogurt/Yogurt Substitutes (Perishable),4,Dairy & Eggs,auto,keyword 'yogurt'
Baking/Cooking Mixes (Perishable),3,Baking Supplies,auto,keyword 'baking'
Fats Edible,3,Oils & Vinegars,user map,2026-09-20 gate-3 §6 pick (Eman)
Food/Beverage/Tobacco Variety Packs,3,Tobacco & Vaping,auto,keyword 'tobacco'
Shellfish Prepared/Processed,3,Seafood,auto,keyword 'shellfish'
Soups - Prepared (Shelf Stable),3,Soups & Broths,auto,keyword 'soup'
Baking Accessories,2,Baking Supplies,auto,keyword 'baking'
Beer,2,Beverages — Alcoholic,auto,keyword 'beer'
Bread/Bakery Products Variety Packs,2,Bakery & Bread,auto,keyword 'bread'
Dressings/Dips (Shelf Stable),2,Condiments & Sauces,auto,keyword 'dressing'
Eggs/Eggs Substitutes,2,Dairy & Eggs,auto,keyword 'eggs'
Fruits - Unprepared/Unprocessed (Shelf Stable),2,Produce,auto,keyword 'fruit'
Fruits/Vegetables/Nuts/Seeds Variety Packs,2,Nuts & Dried Fruit,auto,keyword 'nuts'
Oral Hygiene Products,2,Personal Care & Hygiene,auto,keyword 'oral'
Pork Sausages - Prepared/Processed,2,Meat & Poultry,auto,keyword 'pork'
Turkey - Unprepared/Unprocessed,2,Meat & Poultry,auto,keyword 'turkey'
Vegetables - Unprepared/Unprocessed (Frozen),2,Frozen Foods,auto,keyword 'frozen'
Vegetables - Unprepared/Unprocessed (Shelf Stable),2,Produce,auto,keyword 'vegetable'
Vinegars/Cooking Wines,2,Oils & Vinegars,auto,corrected 2026-09-20: the probe's keyword 'wine' had matched 'Cooking Wines'
Amino Acid Supplements,1,Vitamins & Supplements,auto,keyword 'supplement'
Antioxidant Supplements,1,Vitamins & Supplements,auto,keyword 'supplement'
Baking/Cooking Mixes/Supplies Variety Packs,1,Baking Supplies,auto,keyword 'baking'
Berries/Small Fruit,1,Produce,auto,keyword 'fruit'
Breakfast Foods,1,Breakfast & Cereal,auto,keyword 'breakfast'
Cakes - Sweet (Shelf Stable),1,Bakery & Bread,auto,keyword 'cake'
Children's Natural Remedies,1,Health & Pharmacy,auto,keyword 'remed'
Coffee/Coffee Substitutes,1,Coffee & Tea,auto,keyword 'coffee'
Fish Substitutes,1,Seafood,auto,keyword 'fish'
Flour - Cereal/Pulse (Shelf Stable),1,Breakfast & Cereal,auto,keyword 'cereal'
Gardening,1,,unmapped,2026-09-20 gate-3 §6 pick (Eman): stays blank (non-food)
Grain Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),1,Deli & Prepared Foods,auto,keyword 'meals'
Media,1,,unmapped,2026-09-20 gate-3 §6 pick (Eman): stays blank (non-food)
Minerals,1,Vitamins & Supplements,user map,
Nuts/Seeds - Unprepared/Unprocessed (In Shell),1,Nuts & Dried Fruit,auto,keyword 'nuts'
Pork - Prepared/Processed,1,Meat & Poultry,auto,keyword 'pork'
Processed Cheese & Cheese Novelties,1,Dairy & Eggs,auto,keyword 'cheese'
Sauces - Cooking (Shelf Stable),1,Condiments & Sauces,auto,keyword 'sauce'
Vitamins/Minerals/Nutritional Supplements,1,Vitamins & Supplements,auto,keyword 'vitamin'
Fish Prepared/Processed,2,Seafood,user map,2026-09-20 gate-3 §6 pick (Eman) — a 'US'-market (GDSN) category the strict-set probe never saw; rows_kept from the full run
Peppers,1,Produce,user map,2026-09-20 gate-3 §6 pick (Eman) — a 'US'-market (GDSN) category the strict-set probe never saw; rows_kept from the full run
